HomeWin,HomeNumWins,VisitorNumWins,HomeWins2019,VisitorWins2019,HomeLosses2019,VisitorLosses2019,TotalHomeWins2019,TotalVisitorWins2019,Net Home Season Score,Net Away Season Score
0,1,1,9,6,32,35,17,19,-80,-29
1,3,1,29,19,12,22,19,42,44,9
1,0,1,32,29,9,12,53,29,-16,-29
0,4,2,22,26,19,15,37,58,84,59
0,3,3,26,30,15,11,41,36,-28,-10
1,3,4,28,9,13,32,49,33,75,40
0,4,0,32,29,9,12,48,33,-1,-103
0,1,3,19,22,22,19,33,53,-48,13
0,1,1,30,21,11,20,57,50,-90,36
1,5,3,26,26,15,15,48,58,40,68
1,4,0,29,22,12,19,48,49,34,18
1,3,2,31,6,10,35,51,19,43,-8
1,3,1,19,15,22,26,39,41,51,-34
1,1,1,9,8,32,33,22,17,-46,-101
0,3,1,34,29,7,12,54,29,27,-40
0,4,3,29,15,12,26,19,37,70,75
1,5,1,29,19,12,22,50,42,50,-17
1,1,3,24,21,17,20,39,53,-55,-5
0,2,1,25,29,16,12,39,33,-74,-99
1,3,3,25,20,16,21,42,51,-12,44
1,4,1,28,31,13,10,49,32,85,-33
1,3,1,31,22,10,19,53,48,19,50
1,2,1,25,16,16,25,36,48,-4,-5
1,4,1,22,27,19,14,37,57,83,-104
0,1,3,32,26,9,15,53,58,-13,58
0,2,3,13,20,28,21,19,39,-9,60
1,2,2,33,13,8,28,60,22,81,-28
1,1,1,19,22,22,19,33,48,-54,41
1,1,4,9,9,32,32,17,33,-119,30
1,4,2,29,29,12,12,19,29,62,-36
1,3,1,34,19,7,22,54,42,23,-22
1,2,1,25,15,16,26,39,41,-76,-43
1,4,1,25,16,16,25,42,48,3,-20
1,4,2,31,19,10,22,53,48,28,60
1,2,2,21,21,20,20,33,50,-97,55
0,3,1,25,31,16,10,36,32,11,-40
1,4,3,27,20,14,21,49,51,-8,29
0,1,4,30,21,11,20,57,49,-130,92
1,5,2,22,15,19,26,37,39,109,-47
0,2,1,9,19,32,22,22,42,-37,-30
0,5,5,29,27,12,14,48,60,51,90
0,2,2,9,14,32,27,17,39,-116,-73
1,4,1,19,14,22,27,39,33,71,-49
0,3,4,25,22,16,19,36,53,-10,37
1,2,4,24,26,17,15,33,58,27,66
0,4,3,32,21,9,20,48,53,-22,-21
1,6,2,26,29,15,12,48,29,36,-52
0,2,3,13,20,28,21,19,51,-20,21
1,2,5,24,21,17,20,39,49,-49,97
0,3,4,21,20,20,21,33,54,-96,31
1,5,2,25,31,16,10,42,32,5,-19
1,2,1,19,27,22,14,33,57,-64,-135
1,6,2,22,29,19,12,37,29,111,-101
1,2,2,9,6,32,35,17,19,-117,-39
0,3,2,23,19,18,22,42,48,-24,32
1,4,3,32,14,9,27,58,39,58,-72
0,2,6,9,27,32,14,22,60,-43,109
1,5,4,31,21,10,20,53,53,57,-16
1,3,1,24,16,17,25,33,48,35,-27
0,5,5,29,21,12,20,19,49,78,96
0,6,4,29,30,12,11,50,36,54,-30
1,7,0,26,22,15,19,48,49,85,0
0,3,1,21,27,20,14,33,57,-113,-143
1,3,4,19,21,22,20,33,53,-56,-40
1,3,2,24,7,17,34,39,19,-48,64
1,7,0,22,22,19,19,37,49,132,-2
1,4,1,31,8,10,33,51,17,40,-99
1,1,1,22,16,19,25,32,48,-23,-34
0,2,7,17,27,24,14,29,60,-122,123
1,3,3,23,14,18,27,42,39,-53,-108
1,4,2,24,27,17,14,33,57,42,-124
1,5,2,19,6,22,35,39,19,86,-57
1,5,0,32,17,9,24,58,42,94,9
1,2,1,9,15,32,26,22,41,-57,-46
0,3,2,25,21,16,20,36,50,-20,44
1,4,5,34,22,7,19,54,53,48,81
1,8,6,26,21,15,20,48,49,87,110
1,3,4,33,21,8,20,60,53,131,-51
0,5,1,29,14,12,27,19,33,60,-45
1,3,2,26,29,15,12,41,29,-66,-130
1,2,3,22,14,19,27,32,39,-17,-118
1,4,2,23,15,18,26,42,39,-43,-44
0,3,4,9,20,32,21,22,39,-37,110
0,5,4,27,15,14,26,49,37,-7,137
1,5,1,31,16,10,25,51,48,45,-40
1,5,2,24,6,17,35,33,19,90,-81
1,5,6,34,21,7,20,54,49,58,107
1,6,2,29,27,12,14,50,57,52,-172
1,9,5,26,22,15,19,48,53,90,71
0,3,2,25,7,16,34,36,19,-28,57
0,3,2,25,13,16,28,39,22,-125,-45
1,5,0,29,17,12,24,48,42,61,-7
0,2,4,17,26,24,15,29,58,-155,110
0,3,1,9,16,32,25,17,48,-104,-51
1,6,5,31,20,10,21,51,39,56,118
1,2,4,13,21,28,20,19,53,-123,-59
0,3,5,21,15,20,26,33,37,-132,140
1,4,1,33,15,8,26,60,41,139,-41
1,7,2,29,14,12,27,50,33,56,-42
0,6,4,31,9,10,32,53,33,68,132
0,3,2,9,19,32,22,17,42,-111,-24
0,3,2,22,15,19,26,32,39,-10,-63
1,6,3,34,7,7,34,54,19,62,59
1,10,2,26,14,15,27,48,33,93,-50
0,3,3,13,19,28,22,19,42,-117,-22
1,4,0,26,17,15,24,41,42,-55,-12
1,6,2,29,29,12,12,48,33,66,-133
0,2,5,17,30,24,11,29,36,-158,-30
1,5,3,28,15,13,26,49,39,103,-56
1,6,3,19,14,22,27,39,39,91,-126
1,6,4,32,20,9,21,58,51,113,83
0,3,4,9,21,32,20,22,53,-44,-65
1,5,3,33,21,8,20,60,50,153,64
0,4,6,32,15,9,26,48,37,-44,141
0,1,0,30,22,11,19,57,49,-176,-10
0,6,1,24,22,17,19,33,48,146,118
1,7,2,34,31,7,10,54,32,74,-17
1,6,4,28,19,13,22,49,42,104,-20
1,3,1,25,15,16,26,39,41,-143,-40
0,3,0,13,17,28,24,19,42,-119,-27
1,7,3,29,21,12,20,48,50,78,60
1,7,3,31,15,10,26,51,39,78,-57
1,7,1,32,8,9,33,58,17,118,-113
1,6,5,31,20,10,21,53,39,54,108
0,3,2,21,22,20,19,33,48,-145,133
1,6,2,33,29,8,12,60,29,157,-170
0,4,6,32,30,9,11,48,36,-54,-18
0,5,2,29,31,12,10,19,32,47,-30
0,4,7,19,15,22,26,33,37,-75,151
1,1,1,32,22,9,19,53,49,-42,-7
1,1,3,30,13,11,28,57,22,-179,-67
1,5,6,23,21,18,20,42,49,-31,115
0,5,3,26,14,15,27,41,39,-41,-142
0,6,5,25,26,16,15,42,58,-15,146
0,3,8,13,27,28,14,19,60,-131,166
0,3,4,9,20,32,21,17,51,-141,84
1,8,2,29,29,12,12,48,29,97,-179
0,3,3,21,21,20,20,33,50,-147,41
1,7,2,19,27,22,14,39,57,99,-165
1,5,2,27,14,14,27,49,33,-24,-79
1,4,3,32,22,9,19,48,48,-66,135
0,5,5,29,9,12,32,19,33,39,131
1,2,3,32,13,9,28,53,22,-25,-81
1,8,3,22,31,19,10,37,32,155,-22
1,4,5,24,20,17,21,39,54,-63,87
1,8,3,31,19,10,22,51,48,90,98
1,7,2,31,29,10,12,53,29,63,-180
1,7,4,33,14,8,27,60,39,175,-139
